2024-10-10 15:05:52,403 - INFO - Started a thread. Current number of threads: 1
2024-10-10 15:05:52,403 - INFO - Started a thread. Current number of threads: 2
2024-10-10 15:05:52,403 - INFO - Started a thread. Current number of threads: 3
2024-10-10 15:05:52,403 - INFO - Started a thread. Current number of threads: 4
2024-10-10 15:05:52,403 - INFO - Started a thread. Current number of threads: 5
2024-10-10 15:05:52,403 - INFO - Started a thread. Current number of threads: 6
2024-10-10 15:05:52,403 - INFO - Started a thread. Current number of threads: 7
2024-10-10 15:19:27,187 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:27,229 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:28,153 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:28,677 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:29,201 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:29,722 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:31,263 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:31,803 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:32,318 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:32,829 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:33,344 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:33,863 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:34,400 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:34,912 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:35,426 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:37,480 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:38,503 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:39,030 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:41,074 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:41,077 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:41,374 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:41,435 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:41,436 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:41,645 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:41,646 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:42,177 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:42,178 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:44,095 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:44,112 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:44,114 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:44,165 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:44,243 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
